,unnormalized,normalized
0,"Our friends wont buy this analySis , let lon the next one we propose .","Our friends wont buy this analysis, let alone the next one we propose."
1,One more psseuUuuo generalis8ion and Im givingg up .,One more pseudo generalization and Im giving up.
2,Onee more pseudo generaliaztion or Im giving up .,One more pseudo generalization or Im giving up.
3,"The moree we study verbs , th crazier theyy gett .","The more we study verbs, the crazier they get."
4,Dy by day theeeeee facts are getting murkier .,Day by day the facts are getting murkier.
5,Ill fix you a drink .,Ill fix you a drink.
6,Fred watered the plants flat .,Fred watered the plants flat.
7,BiLL CougHed hissss way out of the restaurant .,Bill coughed his way out of the restaurant.
8,Were dansing the night away .,Were dancing the night away.
9,Herman hammered the metal flat .,Herman hammered the metal flat.
10,The critics laughed the play off the Stage .,The critics laughed the play off the stage.
11,The pond frze solid .,The pond froze solid.
12,Bill rolled out ff the room .,Bill rolled out of the room.
13,The gardener wateered the flowers flat .,The gardener watered the flowers flat.
14,The gardener wared the flowers .,The gardener watered the flowers.
15,Bill broke the bathtub into piecEs .,Bill broke the bathtub into pieces.
16,Bill broke thee b8htb .,Bill broke the bathtub.
17,TheY drankkkk te pub dry .,They drank the pub dry.
18,The profssrr talked us nto a stupor .,The professor talked us into a stupor.
19,Weee yelled ourselvesss hoarse .,We yelled ourselves hoarse.
20,Harry coughed himslf into a fitt .,Harry coughed himself into a fit.
21,Bill follod the road into the forEst .,Bill followed the road into the forest.
22,We drove Highway 5 from SD to SFF .,We drove Highway 5 from SD to SF.
23,Frred tracked the leak 2 its source .,Fred tracked the leak to its source.
24,John dacned waltzess Across the room .,John danced waltzes across the room.
25,Bill urinated outt the window .,Bill urinated out the window.
26,Bill cOughed out the window .,Bill coughed out the window.
27,Bill bled on de floor .,Bill bled on the floor.
28,The toilet leakd thrugh the floor into the kitchen below .,The toilet leaked through the floor into the kitchen below.
29,Bill ate off the floor .,Bill ate off the floor.
30,Bill drank from thee hose .,Bill drank from the hose.
31,This metal hammess flat easily .,This metal hammers flat easily.
32,They made himmmm persident .,They made him president.
33,Thy md him angryyyy .,They made him angry.
34,Theyyyyyyy made him inttttt a monsterr .,They made him into a monster.
35,The trolley rumbled through the tunnel .,The trolley rumbled through the tunnel.
36,TTheeeeee wagon rmbled down the road .,The wagon rumbled down the road.
37,The bullets whistled past the house .,The bullets whistled past the house.
38,The knee replacement candid8e groaned up the stairs .,The knee replacement candidate groaned up the stairs.
39,The dog bkaed its way outt of the room .,The dog barked its way out of the room.
40,Bill whstled his way past the house .,Bill whistled his way past the house.
41,Th witch vanishd into thee forest .,The witch vanished into the forest.
42,Bill disappearEd downn the road .,Bill disappeared down the road.
43,The witch went into theeee forest and thereby vainhsed .,The witch went into the forest and thereby vanished.
44,The buildng s tall and wdeeeeee .,The building is tall and wide.
45,This bldng is talller nDd wider than th8 one .,This building is taller and wider than that one.
