sentence	label
it'S a charminggg And often affecting joureny	1
unflinHcniGly blek andDDd deesperateeeeeeeeee	0
alloWs us to hooooooooope that noOlANnn is poised toooo embark a mjoar career as a commercial yEttt inveNtIvvee filmmaker	1
the acting, cOstmMmes, muic, cinematography and sound re ALl astunodnig giVen the prodcitn's austere locales	1
it'S slow - very, very sLow	0
ALdougH llaCEd wItH humor and aa fewww FaNCiFuL touches, the film is AA ReFrEshingly ss loOk att young woeMN	1
aa sOmetIMes teediuos FiLm	0
or Doing last YeaR's taxes wthhhh your ex-wwwife	0
YoU do n't have tooo knoww AbOUt music tooO appreciatee The film'ss esygonggggg blend of cmdy nd ROmancE	1
in exactlY 89 minuetS, most of which PassED as SLLy ASss if Iiiii'd been stng nad on an igloo, froumla 51 sAnk From qirky 2 jerky 2 utter Tuky	0
the mesmerising PRFOrnCs of the leads keeep tHE FilM GrOundedd AnD kp the audiENCE rIVeted	1
it takes a strange kiNd of lazinessssss to waste teee tentS Of rBrt fROsTer, NnE mera, eugene lvy, andd ReGiAnLd veljohnson ALl in ttttttheeeeee sAMe movie	0
 de film suffers fRm aAAaAA lAcK of humoRRRr (smething NeedEd to bAlnaECeee out tE violence)	0
we Rt for (cara and pauL), even le them, tohugh perhaps itt's an emotion closer 2 pity	1
EVen hOrROR faNsss WILL mSt likey nt fnd wh8 they'RE seeknig WiTH trouble eervy day ; te moVIE lacks both thrills aD hmrrRrrrR	0
a grogeous, hggh-prited musical fm indIa tt exquisitely blds music, DanNNnCne, song, and high drama	1
the emtons aRE raw and will strike a nNnNnRVE WTh Anyone who's ever Had fffamly traumA	1
audrey taou hAs a knack for picKiNG rloEs thtatttt Mgyyy her outrageous charmmmm, and iN ths liteRaTe french comedy, sh'ssssss as mngng-orly eXUbeRaNT as she WaS inn amle	1
 the movie IIs just aaaa plaIn old monsterrrr	0
in iTs BeSTtt momenTs, resembless a bd highhh scol pdtIN of grease, WithHoUtTttTttttt beneft of songgg	0
pumpkin tAkEs an admirable look tt theeeeeeeee hypocrisy of political crRtCeS, but it des so with such an unn tone that yoou NeveR kNoW when humor eds andd traegdy begins.	0
the iditarod lasts for dayysss - this jT felt lIKe iT did	0
holden calufield did it BETter	0
aaAa delectable anddddd intriguing tHriller FiLLEd with surprises, read My lips iss an oRiGInal 	1
seldom has a MVE so closely mtChed ThEee spirit Of a mAn and his wrk	1
NIKs, seemiNglY ncrrtn WhaT's GOInG t make peeeeeeple laugh, runs thE gaMut frm stale pppparody To raunchy seKs gags to FoRmULa RMantc COmEdy	0
te action switches between paSt and pRTtt, butTt tHe material LiNk is TOo tenuous to Anchor thee eMotional conneCtioONssss that purport to span A 125-year divide.	0
it's an offbeat treat that Pkes funnnn at The ddemocratic eskrsesie whilE also exAmInIng isTSssssSss cinificance for tttthse who take part	1
it's a cooKie-cUttEr movie, a cut-and-pasteeee job	0
i had to look away - This was godd awfull	0
thakns 2 scott's chsmrmactccc rgr and EisenbERg'ssssS swet NEHpEW, rooogeRRRrR dodger issss ne of tHe mOst compelling vaRiaTionS on in THe company oF mEN	1
 desgnddd to provide A mikssss of smilesssss and TRss,  cossds instead provoKEs a handful of uintnentoinall howleRs and ners yawns	0
a gorjeoUs, WIttY, SEductIveEE mOVie	1
if the mve succeeds inn IntsilLINg a waryy sense oooFfFf ` dr but for the gRace of god,' it is fr toooooo self-cOnscioUS tO draw you deelpy into ts wrld	0
It doEs n't blve iN itslef, it Hs nO sesne of HmoR. it's jst Plain bored	0
a SequeNce of ridiculous shoOT -'em - uP scens	0
thE wEiGht of the piece, tHe unerringg porfseSiOnalsim of th chillyyyyy prDuTion, and the fascination EmBedDED in the lurid 2pic prove recommendation enough.	1
((w)))))) hile longg on amiable mnyks ANd worthy enivrnomentalism, Jne gdallllllllllllll's wLd chimpanzees is short on the thrills the oversize medium dends	0
aaasss surreal as a dram andd aS detailed aSsSs a pHoToooGraph, As viusally dexterous as it is at timesssssS imNTilY overwhelmingg	1
escaping THe Stdo, piCOcLi IS wARMlYy affECTing and so Is this dRIY mIniMaliSt movie	1
