sentence	label
it is a charming and often amusing journey .	1
alloWs us to hope that nelson is poised to embark a major career as a commercial youth investigative filmmaker .	1
the acting , costumes , music , cinematography and sound are ALl sound giVen the precise as western locales .	1
it was slow -- very , very sLow .	0
although laced wItH humor and a few FaNCiFuL touches , the film is a ReFrEshingly serious loOk at young women .	1
a sOmetIMes tedious FiLm .	0
or Doing last YeaR us taxes with your ex-wife .	0
YoU do not have to know AbOUt music too especially The film is strong blend of comedy and ROmancE .	1
in exactlY 89 minutes , most of which PassED as slowly as, if in the sun being had on an island , our he sAnk From air - her - utter decay .	0
the mesmerizing turns of the leads makes tHE FilM ended AnD keep the audiENCE cheered .	1
it takes a strange kiNd of laziness to waste the talents Of robert farmers , and me , eugene levy, ,\ and and john ALl in the sAMe movie .	0
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... 	0
we sat for ( carol and pauL ) , even like them , though perhaps it saw an emotion closer to pity .	1
EVen hOrROR fans WILL not like not find who they are seen WiTH trouble every day ; the moVIE lacks both thrills and horror .	0
a group , hit musical fm indIa tt exquisitely blds music , dance , song , and high drama .	1
the emotions aRE raw and will strike a nerve with Anyone who s ever Had family traumA .	1
audrey too hAs a knack for picKiNG roles them by her outrageous charm , and iN this liteRaTe french comedy , sh ssssss as morning glory eXUbeRaNT as she WaS inn amle .	1
... the movie IIs just a plaIn old,... monster .	0
in its best moments , resembles a bad high school production of grease , without benefit of song . 	0
pumpkin tAkEs an admirable look at the history of political crisis , but it does so with such an even tone that you NeveR kNoW when humor is and and begins ... ..	0
the war lasts for days - this just felt lIKe iT did .	0
holden could did it BETter .	0
a delectable and, intriguing tHriller FiLLEd with surprises , read My lips is an oRiGInal ...	1
seldom has a man so closely matched the spirit Of a mAn and his work .	1
bugs , seemiNglY uncertain WhaT s GOInG to make people laugh , runs thE gaMut from stale parody To raunchy sex gags to FoRmULa many COmEdy .	0
the action switches between paSt and past , but tHe material LiNk is TOo tenuous to Anchor the eMotional connections that purport to span A 125-year divide ..	0
it is an offbeat treat that takes fun at The most session whilE also exAmInIng its chances for those who take part .	1
it was a cooKie-cUttEr movie , a cut-and-pasteeee job .	0
i had to look away -- - This was godd awfull .	0
thomas , scott saw smith anderson and EisenbERg see set up , together are is one of tHe mOst compelling vaRiaTionS on in THe company oF mEN .	1
... desgnddd to provide A mikssss of stress and TRss , cossds instead provoKEs a handful of uintnentoinall howleRs and ners yawns .	0
a gorgeous , WIttY , clever mOVie .	1
if the man succeeds in in a dark sense of or but for the gRace of god , it is far toooooo self-cOnscioUS tO draw you deelpy into ts wrld .	0
It doEs not believe iN itself , it has nO sense of me .. it s just plain bored .	0
a SequeNce of ridiculous shoOT - em -- uP scens .	0
thE wEiGht of the piece , tHe burning position of the his printy , and the fascination EmBedDED in the lurid piece prove recommendation enough ..	1
( ( w ) ) ) ) ) ) while long on amiable men ANd worthy animals , one all as and chimpanzees is short on the thrills the oversize medium does .	0
as surreal as a dream and aS detailed as a photograph , As easily serious as it is at times its level .	1
escaping THe studio , it IS wildly affECTing and so Is this dark mIniMaliSt movie .	1
the'a... s ... TremENdoOoUs ergyyy from de cast , a sense off pyflns and excitement that seems approprIate .	1
this fascinating doCuMenTAry traces oUr recent vision oF the holy land and ITS inhabitants , revealing THE human species beneath .	1
the subtle strength Of language iS that it never loses touch with THe reality of thE true SiTuaTion .	1
holm ... embodies the character with an effortlessly regal charisma . 	1
the title not only describes its main characters , but the lazy people behind the camera as well . 	0
It was it beyond the mortal joys of pretty And bright intelligent entertainment .	0
a synthesis of lies And AbsurDiTiEs that SEeMS positively sad in its CinemATic flash and emptiness .	0
a soft and heated ( ( FOr te mosT part ) chiller .	1
has a loT of The parts of eastwood at his BEst .	1
it is hampered by a lifetime-channel KiNd of plot and a lead ATRs who is out of Hr DThhhh .	0
it feels lIke a natural spel gun up with some fancy special EFfeCts - and watching iTs rote plot into conNECt is about aS excIting ass gZING at an egg timer ffffor 93 minutes ... ... ..	0
for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . 	1
mr. tsai is a vy orgiinal aRTtst innnnn his medum , anD what tIme is it thereeeee ?	1
it is aN engaging look at the controversiAL epoNymous and, fiercely gay he .	1
so devoid of any kind of intelligent or that it makes films like, as, and, collateral damage seeM liKE thougHTFul treatises	0
a tender , heartfelt final from ... .	1
.. a HllOw like to by a cinematic gYMnstTt trying to much fun emblishng the misanthropic tale to ctaly enGaGe it .	0
the cold turkey would 've been a far better title . 	0
it s just not perfect -- -- a movie that has AllL theeeeeeeee seen need to be a fascnangg , involving character suDytY , but NvER des MrE than scatch thee surfcae ...	0
this is a story of two sisters Who do not start a new love , but together they are different .	1
he has to finD some hook on which to hang hiS PersIstentLY useless message , ANd it might as well be te resUscitAtiON of De middle-aged chraacter .	0
the primary force of the film seems to bubble up from the vast collection number of the combataNts .	1
on THiS third topic , this is very mUch a step in to its fiction , , with itS blend of FranknESS , clarity aNd compassion .	1
the ScripT is, is , , and m. hartley s disTnEded pae and foot-dragging rythhms folLOw .	0
YOu wonder why EnOugh was not just a music vidEo rather than a FulL-eLNgth mOVie .	0
if you are hard up for raUnchY old HumoR , this is your it right here .	1
a fast , funny , highly enjoyable movie ... ..	1
good old-fashioned slash-and-hack is back ! 	1
for all its simple charmness , and despite an OveRBearInG series of great crescEnDos , la cOhUuuUUu-cuu inv rellYy bulDs up a hed of emtnl SteAmMMM .	0
especially in in mood sets and Dialogue , this chAmbEr drama is supeRbLy acted by the truly and veteran bOuQuet and to chilling bUT quiTe humaN drama .	1
use high comedy To evoke spiritual romance .	1
one of creepiest , scariest males to come along in a like , long time , easily killing the witch or the other .	1
a strIng of red sight is passed In its vicinity .	0
among The year saw most interesting explorations of mountains .	1
the movIe faiLs tO live up tO the sum of its parts .	0
the long - room is a triumph of unity that eArns ITS means of praise ...	1
there is nothing anything about this FIlm , buT it Is good enough aND will likely Be appreciated most BY sailors AnD seals who know their way arOUND a submarine .	1
thiS is a train wreck off an action Film -- -- - a sTpFYinggGGgG attmpt by the filmmakers to 4ce-feed jamessss end in2 tHe mindless xxx mold aNd trohw 400 years of cineeeemaatic HoRy down te tOIlet in favor oooff brIght flahes ad lOud bangsss .	0
the word ( for big Bad love ) Is a song performance by chris howard .	1
greg might want to hang to to ski mASk , AS it may be the oNlY way tO pay for HiS next prOject .	0
it s the pusSy-aSS World wHen vn killer-htrlilers have. arnud goup thherapy sessionsssssss .	0
"though it is become almOsT dead "" say sO , major roads go tO look for all and people who look like ... ..."	1
the legend of cOuraGE in the face of political repression is inspiring , especially FOr aginG hippies ( this one included ) .	1
tHe movIe acts AS great An act by keeping these thOUghtS hidden as? ... ( QQUIllS ) did by showing ThEm ... .	1
the film lost LInEs when IT should Peak and is more missed out and told thaN dark , decadent drama .	0
from ... put ( ssss ) the adiennce in the prvilged POsition of EASdrPpIG n hIS characters	1
all slow dark and jolting images have a way of pulling into your subconscious like THe nightmare of had a week ago that would not go aWay .	1
we know the PLot s a liTtLE crazy , BUT it held my interest from start to fInIsh .	1
it is a the affaIr , but when it hits its mark it is right .	1
"hardly a mystery , BuT it includes viewers "" a good chaRitable interest and, some interesting real people .."	1
you we not like her , it why WilL i recognize him ...	0
if even ever s is Is a virtue It Is a gLoriOus future ..	1
miller reVeALs his characters in a way that intrigues and Even is fun , and he never reduces the solution to simple melodRaMa ..	1
tHis riveting world war iI moral suspense story DEals with tHe shadow side of american culture : racial prejudice in its all and DiveRsE forms .	0
it is difficult to in the or that properly such A script , but here is guessing that Spray noise and underwater noises pLAYed a cruCIAL role .	0
no sOphOmore star for for sam jones , wHO goes from oscar winner to winning potential wth aaaaa smooth slieght oF hnd .	1
on thE WhOle , The movie lacks wit , feeling and ability To compensate in its inCessaNt coarseness anD vanity .	0
why make a docUmeNtary about these marginal historical FigureS ?	0
neither parker nor johnson is a typical comic lady , but they bring a fresH , dark chaRM to the film .	1
hIs last movie Was still ROmAntic aNd fulL of incredible ideas , but his ghost haS no going for it .	0
a gRipping movie , played with heroes that, are all dead aNd touching .	1
being but editinggg of at blaring havy MeTal mUCH off The tIme , bcEkkKkkK seemS to be UndER de sinnn that he s shooting the LaTeSt system of a Down video .	0
to have a relativElY simple ploT and uncompLiCAtEd morality play , With the stable Cast .	1
what the doctor can not do is make either of a if is two very interesting or worth caring at .	0
To note , the viewer is not reacting tO him so much as they are being by in . ..	0
scores No poINTs for ability , wIt , oR intelligence .	0
there is not nearly eNough fuel here , dEsPIte tHE presence of some healing ingrEdienTs .	0
this was is maddening .	0
it haunts you , You can not forget it , , you after its conception and are able to rEsolve some of tHe confusion you had while watching it .	1
one of do notes takes on english culture I ve seen in a long time .	1
sad , heArTbreakinG , , and almost in a strange , unique story that maKes ITs heart seem easily and,. and when its sister is nOt .	1
even none of the the neW guy is you that you COuLD be doing something elSE far more valuable ..	0
yes ... UNComfoooOoORtably colse to coastinggggg inn tHE trads offffffff the BICYcle Thief .	0
warm water under a red bridge is a dark and in space film that explOres the fascinating connections between man , WaTer , nature , and sexuality .	1
it seems to me the film is about the art of ripping time off without eVEr letting them CoNSciouSly know yOu have done so	0
old-form mOviemAking aT ItsS betttt ..	1
this put the formula into some single ring .	1
( ( ( later bounces ) ALL over the me , dancing , running , SweATINg , wiping his FaCE and Generally playing the way that That broUghT hIm fame in tHE first placE .	1
a game thaT reminds uS of just hoW exciting and satisfying the fantasy CiNeMa can be when it is aPproAChed with, imagination and fair .	1
confirms to in son that ethan hawke would be even worse behind the camera Than he saw in front of it .	0
in thE end , we are lEfT with something like, two ships passing iN the net rather than aNy insights into my love , chinese soCieTy or tHe PrIce onE pays for being one .	0
as ... pmps a lot of enerGY into hiss ncelYy nuANCeD and and sroundss himself with a cccast of qruky -- butt not sTeReOTypeD -- srteet carahCterS .	1
it provides the kind , , and entertainment of a poor as paying SmaRT people amid A compEllIng pot .	1
some from the Lack oF a comic or credible narrative .	0
in addition , the over idea is far Less funny than the original , less in space ..	0
scooby DOoby doo / and shaggy too / you both look aNd said gReaT .	1
the tale of tom ( andy lau ) , a sleek sociopath oN thE trail Of one ( josh ma ) , The most LegEndary oF six hitmen , is too set To take him .	0
