sentence	label
it's a charming and often affecting comedy.	1
unflinchingly bleak and desperately desperate.	0
allows us to hope that Nolan is poised to embark a major career as a commercial yet independent filmmaker.	1
the acting, costumes, music, cinematography and sound are all impressive given the production's austere locales.	1
it's slow -- very, very slow.	0
Aldough laced with humor and a few familiar touches, the film is a refreshingly honest look at young women.	1
a symposiums teatimes festival.	0
or doing last year's taxes with your ex-wife.	0
You do not have to know about music to appreciate the film's eclectic blend of comedy and romance.	1
in exactly 89 minutes, most of which passed as SLL as if I'd been sitting next to an igloo, floumla 51 skip from qirky to jerky to utter Tuky.	0
the mesmerising performances of the leads see the Film Grounded and kick the audience engaged.	1
it takes a strange kind of laziness to waste the tents of Rogue Firefighter, Neemera, Eugene Levinson and Robert Veljohnson all in the same movie.	0
the film suffers from a lack of humor (something needed to balance out the violence).......	0
we resent for (cara and paul), even though perhaps it's an emotion closer to pity.	1
EVen horror movies will seem like they never find what they're seeking with trouble every day; the movie lacks both thrills and heartbreak.	0
a great, hand-picked musical from India that exquisitely blends music, dance, song, and high drama.	1
the emotions are raw and will strike a nerve with anyone who's ever had family trauma.	1
Audrey Taou has a knack for writing rhymes that match her outrageous charm, and in this light-hearted french comedy, she's as making-orly English as she was in America.	1
the movie is just a plain old monster.	0
in its best moments, resembles a bad high school piece of grease, without the benefit of song.	0
pumpkin takes an admirable look at the hypocrisy of political campaigns, but it does so with such an unnatural tone that you never know when humor ends and tragedy begins.....	0
the iditarod lasts for days - this one felt like it did.	0
Holden Calufield did it better.	0
a delectable and intriguing thriller filled with surprises, read My lips is an organical...	1
Rare has a man so closely met the spirit of a man and his work.	1
NIKs, seemingly unaware What's going to make people laugh, runs the gamut from stale parody to raunchy sketches to Family Radio Comedy.	0
The action switches between pace and post, but the material link is too tenuous to anchor the economic conditions that purport to span a 125-year divide.	0
it's an offbeat treat that pokes fun at the democratic election while also exaggerating its impact for those who take part.	1
it's a comedy-themed movie, a cut-and-paste job.	0
i had to look away -- This was just awful.	0
